row_index,paper_id,sample_id,field,value,risk_level,reason,required_action
1,P001,,BET_m2_g,12300.0,P0,BET_m2_g = 12300 m2/g above hard maximum 10000,回查原文或 SI；优先检查 OCR 小数点、单位和百分号
1,P001,,ICE_pct,105.0,P0,ICE_pct = 105 % above hard maximum 100,回查原文或 SI；优先检查 OCR 小数点、单位和百分号
2,P002,,ID_IG,4.2,P1,ID_IG = 4.2  above typical range 3.5,建议回查原文；优先检查单位、小数点和表格行错位
2,P002,,pore_volume_cm3_g,6.5,P1,pore_volume_cm3_g = 6.5 cm3/g above typical range 5,建议回查原文；优先检查单位、小数点和表格行错位
2,P002,,paper_id+sample_name,,P1,同一论文中 sample_name 重复,检查是否为同一样本、不同倍率/循环数，或真实重复记录
3,P002,,ID_IG,4.2,P1,ID_IG = 4.2  above typical range 3.5,建议回查原文；优先检查单位、小数点和表格行错位
3,P002,,pore_volume_cm3_g,6.5,P1,pore_volume_cm3_g = 6.5 cm3/g above typical range 5,建议回查原文；优先检查单位、小数点和表格行错位
3,P002,,paper_id+sample_name,,P1,同一论文中 sample_name 重复,检查是否为同一样本、不同倍率/循环数，或真实重复记录
2,P002,,mass_loading_mg_cm2,,P2,缺少 mass_loading_mg_cm2，影响器件级可比性,回查实验方法或电极制备部分
2,P002,,near_duplicate_values,,P2,关键描述符和性能值近似重复,确认是否为复制残留或同一材料重复记录
3,P002,,mass_loading_mg_cm2,,P2,缺少 mass_loading_mg_cm2，影响器件级可比性,回查实验方法或电极制备部分
3,P002,,near_duplicate_values,,P2,关键描述符和性能值近似重复,确认是否为复制残留或同一材料重复记录
4,P003,,source_location,,P2,缺少来源位置，后续难以回查,补充表号、图号、SI 页码或原文位置
